ID,ObsType,ObsID,Latitude,Longitude,Elevation(m),LocalDate,LocalTime,UTDate,UTTime,LimitingMag,SQMReading,SQMSerial,CloudCover,Constellation,SkyComment,LocationComment,Country,Unnamed: 18
205557,GAN,249,36.1756,137.986,687.006,2019-01-01,00:12,2018-12-31,15:12,3,,,clear,Orion,,,Japan,
205558,GAN,250,35.8845,139.611,14.0995,2019-01-01,00:19,2018-12-31,15:19,2,,,clear,Orion,,,Japan,
205572,GAN,271,35.5298,139.702,18.0,2019-01-01,17:10,2019-01-01,08:10,1,,,clear,Orion,,,Japan,
205573,GAN,272,35.587,139.63,11.8542,2019-01-01,17:13,2019-01-01,08:13,1,,,1/4 of sky,Orion,,,Japan,
205574,GAN,273,35.2228,140.302,116.527,2019-12-30,21:46,2019-12-30,12:46,5,,,clear,Perseus,,,Japan,
205575,GAN,274,35.7552,139.694,28.0251,2019-01-01,19:16,2019-01-01,10:16,-9999,,,clear,Orion,,,Japan,
205576,GAN,275,35.7546,139.468,79.5949,2019-01-01,19:34,2019-01-01,10:34,2,,,clear,Orion,,,Japan,
205577,GAN,276,35.8268,139.735,6.0,2019-01-01,20:17,2019-01-01,11:17,2,,,clear,Orion,,,Japan,
205578,GAN,277,35.7212,139.747,24.9308,2019-01-01,20:25,2019-01-01,11:25,1,,,1/4 of sky,Orion,,,Japan,
205579,GAN,278,35.8654,139.629,14.4772,2019-01-01,20:37,2019-01-01,11:37,3,,,1/4 of sky,Orion,,,Japan,
205580,GAN,279,36.3877,139.065,106.726,2019-01-01,20:40,2019-01-01,11:40,1,,,clear,Orion,,,Japan,
205581,GAN,280,35.6973,139.403,90.1082,2019-01-01,20:43,2019-01-01,11:43,-9999,,,clear,Orion,,,Japan,
205582,GAN,281,39.7655,140.75,473.42,2019-01-01,20:55,2019-01-01,11:55,-9999,,,over 1/2 of sky,Orion,,,Japan,
205583,GAN,282,35.8056,139.766,6.0,2019-01-01,21:09,2019-01-01,12:09,2,,,clear,Orion,,,Japan,
205584,GAN,283,35.6419,139.277,174.737,2019-01-01,21:13,2019-01-01,12:13,2,,,clear,Orion,,,Japan,
205585,GAN,284,39.7005,140.725,224.652,2019-01-01,21:13,2019-01-01,12:13,2,,,1/2 of sky,Orion,,,Japan,
205586,GAN,285,37.7795,140.489,58.4782,2019-01-01,21:20,2019-01-01,12:20,3,,,1/4 of sky,Orion,,,Japan,
205587,GAN,286,35.8137,139.578,26.5262,2019-01-01,21:15,2019-01-01,12:15,2,,,clear,Orion,,,Japan,
205588,GAN,287,35.5794,139.419,109.223,2019-01-01,21:50,2019-01-01,12:50,2,,,clear,Orion,,,Japan,
205589,GAN,288,35.8709,140.021,22.5716,2019-01-01,21:59,2019-01-01,12:59,3,,,clear,Orion,,,Japan,
205590,GAN,289,35.7592,139.548,56.069,2019-01-01,22:23,2019-01-01,13:23,2,,,clear,Orion,,,Japan,
205591,GAN,290,35.7711,139.907,26.2101,2019-01-01,22:35,2019-01-01,13:35,3,,,1/4 of sky,Orion,,,Japan,
205592,GAN,291,35.804,139.763,5.26403,2019-01-01,23:06,2019-01-01,14:06,2,,,clear,Orion,,,Japan,
205593,GAN,292,35.5452,140.231,69.7757,2019-01-01,23:29,2019-01-01,14:29,3,,,clear,Orion,,,Japan,
205594,GAN,293,35.7286,139.477,79.4681,2019-01-01,23:45,2019-01-01,14:45,3,,,clear,Orion,,,Japan,
205595,GAN,294,35.7356,139.652,44.3534,2019-01-01,21:45,2019-01-01,12:45,2,,,1/4 of sky,Orion,,,Japan,
205596,GAN,296,35.686,139.728,30.5393,2019-01-02,01:11,2019-01-01,16:11,2,,,clear,Orion,,,Japan,
205598,GAN,299,35.7118,139.92,4.35744,2019-01-02,02:37,2019-01-01,17:37,3,,,clear,Orion,,,Japan,
205623,GAN,333,35.6536,139.8,1.31324,2019-01-02,18:58,2019-01-02,09:58,2,,,clear,Orion,,,Japan,
205624,GAN,334,35.7113,139.541,62.2376,2019-01-02,19:46,2019-01-02,10:46,2,,,clear,Orion,,,Japan,
205625,GAN,335,39.6956,141.175,152.778,2019-01-02,19:46,2019-01-02,10:46,3,,,1/4 of sky,Orion,,,Japan,
205626,GAN,336,35.5631,139.726,4.35743,2019-01-02,19:51,2019-01-02,10:51,1,,,1/4 of sky,Orion,,,Japan,
205627,GAN,337,35.7132,139.838,1.6545,2019-01-02,19:54,2019-01-02,10:54,2,,,clear,Orion,,,Japan,
205628,GAN,339,35.7093,139.638,44.575,2019-01-02,20:23,2019-01-02,11:23,2,,,clear,Orion,,,Japan,
