ID,ObsType,ObsID,Latitude,Longitude,Elevation(m),LocalDate,LocalTime,UTDate,UTTime,LimitingMag,SQMReading,SQMSerial,CloudCover,Constellation,SkyComment,LocationComment,Country
215969,SQM,14353,35.7373,139.743,26.8952,2020-01-01,21:55,2020-01-01,12:55,3,17.29,08dd,clear,Orion,,urban location,Japan
216142,GAN,14713,36.0842,140.118,25.9628,2020-01-15,20:59,2020-01-15,11:59,4,,,clear,Taurus,,,Japan
216144,GAN,14717,35.7766,137.698,745.706,2020-01-15,21:30,2020-01-15,12:30,3,,,clear,Orion,,"suburban, near big mountains and national road.",Japan
216145,GAN,14721,36.0252,139.753,9.36129,2020-01-16,00:33,2020-01-15,15:33,3,,,clear,Orion,,,Japan
216146,GAN,14724,35.6855,139.414,73.663,2020-01-16,04:11,2020-01-15,19:11,2,,,1/4 of sky,Taurus,,,Japan
216171,GAN,14764,35.9574,139.602,16.8089,2020-01-16,18:26,2020-01-16,09:26,2,,,1/4 of sky,Orion,,,Japan
216172,GAN,14765,35.7109,139.819,3.68784,2020-01-16,19:06,2020-01-16,10:06,1,,,1/2 of sky,Orion,,,Japan
216173,GAN,14767,36.0631,139.517,21.2794,2020-01-16,19:32,2020-01-16,10:32,3,,,1/4 of sky,Orion,,,Japan
216174,GAN,14768,36.2599,139.41,35.6847,2020-01-16,19:32,2020-01-16,10:32,3,,,1/4 of sky,Orion,,,Japan
216175,GAN,14769,35.7225,139.746,24.9192,2020-01-16,19:49,2020-01-16,10:49,2,,,1/4 of sky,Taurus,,,Japan
216176,GAN,14770,35.5522,139.505,52.3636,2020-01-16,19:59,2020-01-16,10:59,1,,,1/2 of sky,Orion,,,Japan
216177,GAN,14771,34.6808,135.091,109.358,2020-01-16,20:08,2020-01-16,11:08,1,,,over 1/2 of sky,Taurus,,,Japan
216178,GAN,14772,35.8728,139.915,21.7438,2020-01-16,20:22,2020-01-16,11:22,2,,,1/4 of sky,Taurus,,,Japan
216179,GAN,14773,35.8855,139.73,16.0339,2020-01-16,20:29,2020-01-16,11:29,-9999,,,over 1/2 of sky,Orion,,,Japan
216180,GAN,14774,35.7788,139.69,8.6008,2020-01-16,20:52,2020-01-16,11:52,1,,,over 1/2 of sky,Orion,,,Japan
216181,GAN,14775,35.7052,139.6,54.3897,2020-01-16,20:52,2020-01-16,11:52,-9999,,,clear,Orion,,,Japan
216182,GAN,14776,35.6557,139.793,5.54856,2020-01-16,20:54,2020-01-16,11:54,2,,,clear,Orion,,,Japan
216183,GAN,14777,35.8383,140.116,1.08864,2020-01-16,20:59,2020-01-16,11:59,2,,,1/2 of sky,Taurus,,,Japan
216184,GAN,14778,35.7679,139.697,23.6109,2020-01-16,21:02,2020-01-16,12:02,1,,,clear,Taurus,,,Japan
216185,GAN,14779,35.7791,139.691,11.0221,2020-01-16,21:05,2020-01-16,12:05,-9999,,,clear,Orion,,,Japan
216186,GAN,14780,35.5315,139.434,93.5853,2020-01-16,21:10,2020-01-16,12:10,3,,,clear,Orion,,,Japan
216187,GAN,14781,35.112,137.112,91.4538,2020-01-16,21:00,2020-01-16,12:00,4,,,clear,Orion,,,Japan
216189,GAN,14783,35.7766,137.698,745.706,2020-01-16,21:26,2020-01-16,12:26,3,,,clear,Orion,,,Japan
216190,GAN,14784,35.6547,139.683,33.6182,2020-01-16,21:46,2020-01-16,12:46,4,,,clear,Taurus,,urban,Japan
216191,GAN,14785,35.8144,139.593,7.21816,2020-01-16,21:48,2020-01-16,12:48,2,,,1/4 of sky,Taurus,,,Japan
216192,GAN,14786,35.6804,139.769,4.02773,2020-01-16,21:55,2020-01-16,12:55,1,,,1/4 of sky,Orion,,,Japan
216193,GAN,14787,35.8069,139.732,5.19881,2020-01-16,22:09,2020-01-16,13:09,1,,,1/2 of sky,Taurus,,,Japan
216194,GAN,14789,35.7305,139.623,49.3889,2020-01-16,21:50,2020-01-16,12:50,2,,,1/4 of sky,Orion,,,Japan
216195,GAN,14790,35.8358,139.391,107.117,2020-01-16,22:48,2020-01-16,13:48,-9999,,,over 1/2 of sky,Perseus,,,Japan
216196,GAN,14791,36.2265,139.153,71.203,2020-01-16,23:06,2020-01-16,14:06,4,,,1/4 of sky,Orion,,,Japan
216197,GAN,14792,35.5865,139.618,17.0876,2020-01-16,23:10,2020-01-16,14:10,2,,,1/4 of sky,Perseus,,,Japan
216198,GAN,14793,35.7346,139.663,41.1175,2020-01-16,23:20,2020-01-16,14:20,1,,,1/2 of sky,Orion,,,Japan
216199,GAN,14794,35.676,139.665,37.2707,2020-01-16,23:28,2020-01-16,14:28,1,,,1/2 of sky,Orion,,,Japan
216200,GAN,14795,35.7717,139.681,28.809,2020-01-16,23:28,2020-01-16,14:28,1,,,1/2 of sky,Orion,,,Japan
216201,GAN,14796,35.7272,139.408,102.633,2020-01-16,23:40,2020-01-16,14:40,1,,,1/2 of sky,Orion,,,Japan
216202,GAN,14797,35.5892,140.14,17.6568,2020-01-16,21:30,2020-01-16,12:30,2,,,1/4 of sky,Orion,,,Japan
216203,GAN,14798,35.5892,140.14,17.6568,2020-01-16,23:50,2020-01-16,14:50,3,,,1/4 of sky,Orion,,,Japan
216204,GAN,14799,35.6966,139.702,32.718,2020-01-17,00:01,2020-01-16,15:01,-9999,,,1/4 of sky,Orion,,,Japan
216205,GAN,14800,35.7276,139.576,53.4726,2020-01-17,00:43,2020-01-16,15:43,1,,,1/4 of sky,Perseus,,,Japan
