ID,ObsType,ObsDateTime,Latitude,Longitude,Elevation,UTCOffset,LimitingMag,CloudCover,SQMReading,SQMSerial,Constellation,SkyComment,LocationComment,Country
305317,Globe at Night,2022-10-28 07:40:00+00:00,28.4098,129.624,15.9855,-540,7,25,,,Pegasus,,,Japan
286212,Globe at Night,2022-10-02 08:00:00+00:00,33.2981,131.352,779.429,-540,3,-1,,,Pegasus,,,Japan
284825,Globe at Night,2022-09-26 08:10:00+00:00,35.897,139.732,6.93158,-540,2,-1,,,Cygnus,,,Japan
283730,Globe at Night,2022-08-29 05:35:00+00:00,43.114,141.412,6.18081,-540,3,-1,,,Hercules,,,Japan
283621,Globe at Night,2022-08-24 05:15:00+00:00,26.7414,128.295,142.201,-540,6,-1,21.2,,Hercules,,"Rural, no lightings around",Japan
282619,Globe at Night,2022-06-27 07:30:00+00:00,35.8965,139.731,7.07345,-540,2,-1,,,Hercules,,,Japan
282423,Globe at Night,2022-06-22 08:04:00+00:00,35.7492,139.704,37.052,-540,1,-1,,,Hercules,,,Japan
282368,Globe at Night,2022-06-02 09:30:00+00:00,33.3413,131.488,40.9375,-540,3,25,,,Hercules,,,Japan
281765,Globe at Night,2022-05-30 05:38:00+00:00,37.3878,140.346,252.501,-540,2,-1,,,Bootes,,,Japan
281520,Globe at Night,2022-05-27 05:24:00+00:00,44.4955,143.079,45.8615,-540,2,50,,,Bootes,,,Japan
281470,Globe at Night,2022-05-26 05:59:00+00:00,44.578,142.957,34.7414,-540,5,-1,,,Bootes,,,Japan
279834,Globe at Night,2022-05-01 04:42:00+00:00,44.5767,142.946,51.3028,-540,5,-1,,,Leo,,,Japan
279833,Globe at Night,2022-05-01 04:42:00+00:00,44.5767,142.946,51.3028,-540,5,-1,,,Leo,,,Japan
279832,Globe at Night,2022-05-01 04:42:00+00:00,44.5767,142.946,51.3028,-540,5,-1,,,Leo,,,Japan
279608,Globe at Night,2022-04-30 05:48:00+00:00,44.5803,142.96,13.9282,-540,3,-1,,,Leo,,,Japan
278687,Globe at Night,2022-04-24 06:18:00+00:00,37.3878,140.346,252.742,-540,-9999,75,,,Leo,,,Japan
278679,Globe at Night,2022-04-24 04:52:00+00:00,44.5803,142.96,15.4323,-540,4,-1,,,Leo,,,Japan
278656,Globe at Night,2022-04-23 09:00:00+00:00,33.3373,131.485,102.698,-540,2,25,,,Leo,,,Japan
278596,Globe at Night,2022-04-23 05:53:00+00:00,37.3878,140.346,252.759,-540,2,-1,,,Leo,,,Japan
278595,Globe at Night,2022-04-23 05:29:00+00:00,35.6643,139.54,43.8148,-540,2,-1,,,Leo,,,Japan
278594,Globe at Night,2022-04-23 04:39:00+00:00,35.8256,139.68,7.99053,-540,2,-1,,,Leo,,,Japan
275911,Globe at Night,2022-03-31 05:27:00+00:00,44.5824,142.961,15.2165,-540,3,75,,,Leo,,,Japan
275655,Globe at Night,2022-03-31 05:15:00+00:00,44.578,142.95,48.5507,-540,5,-1,,,Leo,,,Japan
275405,Globe at Night,2022-03-29 03:54:00+00:00,44.5807,142.955,34.798,-540,2,-1,,,Leo,,,Japan
275296,Globe at Night,2022-03-28 04:38:00+00:00,44.5782,142.957,34.3996,-540,3,25,,,Leo,,,Japan
275109,Globe at Night,2022-03-26 05:50:00+00:00,37.3878,140.346,252.707,-540,-9999,75,,,Leo,,,Japan
274996,Globe at Night,2022-03-25 05:51:00+00:00,37.3878,140.346,252.651,-540,2,50,,,Leo,,,Japan
274872,Globe at Night,2022-03-24 05:03:00+00:00,37.3882,140.346,255.047,-540,-9999,75,,,Leo,,,Japan
274107,Globe at Night,2022-03-04 05:57:00+00:00,37.3878,140.346,252.651,-540,2,25,,,Orion,,,Japan
274106,Globe at Night,2022-03-04 05:25:00+00:00,44.6082,142.935,13.9396,-540,4,-1,,,Orion,,,Japan
273979,Globe at Night,2022-03-03 06:11:00+00:00,37.3878,140.346,252.723,-540,2,50,,,Orion,,,Japan
273845,Globe at Night,2022-03-02 05:51:00+00:00,37.3878,140.346,252.696,-540,2,25,,,Orion,,,Japan
273844,Globe at Night,2022-03-02 05:20:00+00:00,37.3878,140.346,252.651,-540,-9999,75,,,Orion,,,Japan
273728,Globe at Night,2022-03-01 06:32:00+00:00,37.3878,140.346,252.7,-540,1,-1,,,Orion,,,Japan
273724,Globe at Night,2022-03-01 03:47:00+00:00,36.1094,136.311,29.9309,-540,4,25,,,Orion,,,Japan
273722,Globe at Night,2022-03-01 03:27:00+00:00,44.578,142.95,49.6591,-540,3,50,,,Orion,,,Japan
273593,Globe at Night,2022-02-28 06:00:00+00:00,37.3878,140.346,252.703,-540,-9999,75,,,Orion,,,Japan
273577,Globe at Night,2022-02-28 05:21:00+00:00,36.0761,136.209,6.91498,-540,3,25,,,Orion,,,Japan
273467,Globe at Night,2022-02-27 05:17:00+00:00,37.3878,140.346,252.704,-540,2,-1,,,Orion,,,Japan
273393,Globe at Night,2022-02-26 06:45:00+00:00,44.5785,142.951,46.197,-540,5,-1,,,Orion,,,Japan
273391,Globe at Night,2022-02-26 06:43:00+00:00,37.3878,140.346,252.723,-540,-9999,75,,,Orion,,,Japan
273361,Globe at Night,2022-01-09 04:00:00+00:00,36.1373,139.387,31.0955,-540,3,-1,,,Orion,,,Japan
273298,Globe at Night,2022-02-25 06:12:00+00:00,35.4126,140.302,12.0711,-540,3,-1,,,Orion,,,Japan
273297,Globe at Night,2022-02-25 05:25:00+00:00,37.3878,140.346,252.671,-540,-9999,75,,,Orion,,,Japan
273209,Globe at Night,2022-02-24 05:11:00+00:00,37.3878,140.346,252.704,-540,2,75,,,Orion,,,Japan
273207,Globe at Night,2022-02-24 03:50:00+00:00,35.636,139.928,8.58897,-540,3,-1,,,Orion,,,Japan
273094,Globe at Night,2022-02-23 06:01:00+00:00,37.3878,140.346,252.759,-540,-9999,75,,,Orion,,,Japan
273093,Globe at Night,2022-02-23 05:43:00+00:00,33.3382,131.484,106.91,-540,5,25,,,Orion,,,Japan
273044,Globe at Night,2022-02-21 04:36:00+00:00,35.0802,137.152,64.183,-540,3,-1,,,Orion,,,Japan
272904,Globe at Night,2022-02-01 05:00:00+00:00,33.5355,133.242,104.363,-540,4,25,,,Orion,,,Japan
272903,Globe at Night,2022-02-01 05:10:00+00:00,34.8872,132.076,113.403,-540,4,-1,,,Orion,"The day of observation came off very cleanly.  Until then , it was cloudy.  That day was a sunny day during observation period.",Shimane Prefecture  Hamada City Takezako Town .  Observation  place is ground of the Uminomieru bunka kouen.  It is near the  Shimane Prefectural university.  It is a very comfortable in each of the four seasons.,Japan
272902,Globe at Night,2022-02-01 06:20:00+00:00,34.7893,131.943,8.62759,-540,4,-1,,,Orion,"The day of observation came off very cleanly.  Until then , it was cloudy.  That day was a sunny day during observation period.",Shimane Prefecture  Hamada City Misumi Town .  Observation  place is ground of the Miho machidukuri center.  It is near the  Sea of Japan.  It is a very comfortable in each of the four seasons.,Japan
